trial,alpha,stoptime,gflag_idx,alg
11,0.09000000000000001,59,52,unif
11,0.09000000000000001,31,104,max
11,0.09000000000000001,1773,51,bonf
11,0.09000000000000001,1525,103,innerprod
11,0.09000000000000001,1090,103,avg
11,0.1,728,5,unif
11,0.1,31,104,max
11,0.1,1773,51,bonf
11,0.1,1494,103,innerprod
11,0.1,1090,103,avg
12,0.01,463,103,unif
12,0.01,134,103,max
12,0.01,840,46,bonf
12,0.01,1309,103,innerprod
12,0.01,426,103,avg
12,0.020000000000000004,128,103,unif
12,0.020000000000000004,127,103,max
12,0.020000000000000004,746,46,bonf
12,0.020000000000000004,1005,103,innerprod
12,0.020000000000000004,426,103,avg
12,0.030000000000000006,402,103,unif
12,0.030000000000000006,72,103,max
12,0.030000000000000006,703,46,bonf
12,0.030000000000000006,976,103,innerprod
12,0.030000000000000006,417,103,avg
12,0.04000000000000001,145,80,unif
12,0.04000000000000001,66,103,max
12,0.04000000000000001,700,46,bonf
12,0.04000000000000001,925,103,innerprod
12,0.04000000000000001,417,103,avg
12,0.05000000000000001,358,103,unif
12,0.05000000000000001,66,103,max
12,0.05000000000000001,700,46,bonf
12,0.05000000000000001,914,103,innerprod
12,0.05000000000000001,417,103,avg
12,0.06000000000000001,138,80,unif
12,0.06000000000000001,66,103,max
12,0.06000000000000001,586,103,bonf
12,0.06000000000000001,890,103,innerprod
12,0.06000000000000001,134,103,avg
12,0.07,146,80,unif
12,0.07,58,103,max
12,0.07,586,103,bonf
12,0.07,845,103,innerprod
12,0.07,134,103,avg
12,0.08,107,80,unif
12,0.08,58,103,max
12,0.08,580,103,bonf
12,0.08,841,103,innerprod
12,0.08,134,103,avg
12,0.09000000000000001,141,46,unif
12,0.09000000000000001,58,103,max
12,0.09000000000000001,522,103,bonf
12,0.09000000000000001,795,103,innerprod
12,0.09000000000000001,134,103,avg
12,0.1,124,103,unif
12,0.1,58,103,max
12,0.1,497,103,bonf
12,0.1,789,103,innerprod
12,0.1,134,103,avg
13,0.01,3003,103,unif
13,0.01,2956,103,max
13,0.01,3605,103,bonf
13,0.01,3295,103,innerprod
13,0.01,3058,103,avg
13,0.020000000000000004,2983,103,unif
13,0.020000000000000004,2928,103,max
13,0.020000000000000004,3536,103,bonf
13,0.020000000000000004,2955,103,innerprod
13,0.020000000000000004,3055,103,avg
13,0.030000000000000006,2821,81,unif
13,0.030000000000000006,2730,103,max
13,0.030000000000000006,3506,103,bonf
13,0.030000000000000006,2928,103,innerprod
13,0.030000000000000006,3053,103,avg
13,0.04000000000000001,2792,103,unif
13,0.04000000000000001,2628,103,max
13,0.04000000000000001,3490,103,bonf
13,0.04000000000000001,2909,103,innerprod
13,0.04000000000000001,3053,103,avg
13,0.05000000000000001,2579,103,unif
13,0.05000000000000001,2578,103,max
13,0.05000000000000001,3298,103,bonf
13,0.05000000000000001,2805,103,innerprod
13,0.05000000000000001,2990,103,avg
13,0.06000000000000001,2743,103,unif
13,0.06000000000000001,1517,103,max
13,0.06000000000000001,3298,103,bonf
13,0.06000000000000001,2628,103,innerprod
13,0.06000000000000001,2990,103,avg
13,0.07,2160,88,unif
13,0.07,669,81,max
13,0.07,3288,103,bonf
13,0.07,2390,103,innerprod
13,0.07,2982,103,avg
13,0.08,2123,88,unif
13,0.08,669,81,max
13,0.08,3270,103,bonf
13,0.08,2378,103,innerprod
13,0.08,2975,103,avg
13,0.09000000000000001,698,81,unif
13,0.09000000000000001,305,47,max
13,0.09000000000000001,3270,103,bonf
13,0.09000000000000001,2310,103,innerprod
13,0.09000000000000001,2962,103,avg
13,0.1,706,81,unif
13,0.1,305,47,max
13,0.1,3210,103,bonf
13,0.1,2285,103,innerprod
13,0.1,2956,103,avg
14,0.01,735,103,unif
14,0.01,707,103,max
14,0.01,1616,103,bonf
14,0.01,1762,103,innerprod
14,0.01,912,103,avg
14,0.020000000000000004,719,103,unif
14,0.020000000000000004,649,103,max
14,0.020000000000000004,1519,103,bonf
14,0.020000000000000004,1704,103,innerprod
14,0.020000000000000004,896,103,avg
14,0.030000000000000006,753,103,unif
14,0.030000000000000006,588,103,max
14,0.030000000000000006,1430,103,bonf
14,0.030000000000000006,1683,103,innerprod
14,0.030000000000000006,711,103,avg
14,0.04000000000000001,738,103,unif
14,0.04000000000000001,315,103,max
14,0.04000000000000001,1417,103,bonf
14,0.04000000000000001,1677,103,innerprod
14,0.04000000000000001,711,103,avg
14,0.05000000000000001,556,103,unif
14,0.05000000000000001,292,103,max
14,0.05000000000000001,1414,103,bonf
14,0.05000000000000001,1669,103,innerprod
14,0.05000000000000001,711,103,avg
14,0.06000000000000001,663,103,unif
14,0.06000000000000001,172,10,max
14,0.06000000000000001,1411,103,bonf
14,0.06000000000000001,1616,103,innerprod
14,0.06000000000000001,711,103,avg
14,0.07,433,10,unif
14,0.07,172,10,max
14,0.07,1348,103,bonf
14,0.07,1615,103,innerprod
14,0.07,711,103,avg
14,0.08,401,10,unif
14,0.08,172,10,max
14,0.08,1316,103,bonf
14,0.08,1606,103,innerprod
14,0.08,710,103,avg
14,0.09000000000000001,516,10,unif
14,0.09000000000000001,172,10,max
14,0.09000000000000001,1316,103,bonf
14,0.09000000000000001,1568,103,innerprod
14,0.09000000000000001,710,103,avg
14,0.1,296,103,unif
14,0.1,172,10,max
14,0.1,1282,103,bonf
14,0.1,1525,103,innerprod
14,0.1,710,103,avg
15,0.01,1581,80,unif
15,0.01,1291,2,max
15,0.01,1973,80,bonf
15,0.01,1973,103,innerprod
15,0.01,1520,2,avg
15,0.020000000000000004,706,106,unif
15,0.020000000000000004,671,106,max
15,0.020000000000000004,1964,80,bonf
15,0.020000000000000004,1933,103,innerprod
15,0.020000000000000004,1511,2,avg
15,0.030000000000000006,807,106,unif
15,0.030000000000000006,602,106,max
15,0.030000000000000006,1962,80,bonf
15,0.030000000000000006,1880,103,innerprod
15,0.030000000000000006,1511,2,avg
15,0.04000000000000001,645,106,unif
15,0.04000000000000001,602,106,max
15,0.04000000000000001,1958,103,bonf
15,0.04000000000000001,1841,103,innerprod
15,0.04000000000000001,1441,2,avg
15,0.05000000000000001,682,106,unif
15,0.05000000000000001,594,106,max
15,0.05000000000000001,1949,103,bonf
15,0.05000000000000001,1710,103,innerprod
15,0.05000000000000001,1363,2,avg
15,0.06000000000000001,727,106,unif
15,0.06000000000000001,594,106,max
15,0.06000000000000001,1949,103,bonf
15,0.06000000000000001,1699,103,innerprod
15,0.06000000000000001,1291,2,avg
15,0.07,493,106,unif
15,0.07,489,106,max
15,0.07,1949,103,bonf
15,0.07,1653,103,innerprod
15,0.07,1291,2,avg
15,0.08,498,106,unif
15,0.08,489,106,max
15,0.08,1948,103,bonf
15,0.08,1650,103,innerprod
15,0.08,1291,2,avg
15,0.09000000000000001,556,106,unif
15,0.09000000000000001,373,11,max
15,0.09000000000000001,1942,103,bonf
15,0.09000000000000001,1642,103,innerprod
15,0.09000000000000001,1274,6,avg
15,0.1,506,106,unif
15,0.1,373,11,max
15,0.1,1935,103,bonf
15,0.1,1616,103,innerprod
15,0.1,1274,6,avg
16,0.01,1640,51,unif
16,0.01,1203,51,max
16,0.01,2850,103,bonf
16,0.01,3113,103,innerprod
16,0.01,1650,51,avg
16,0.020000000000000004,1237,51,unif
16,0.020000000000000004,1189,51,max
16,0.020000000000000004,2473,103,bonf
16,0.020000000000000004,3017,103,innerprod
16,0.020000000000000004,1635,51,avg
16,0.030000000000000006,1219,51,unif
16,0.030000000000000006,1187,51,max
16,0.030000000000000006,2280,103,bonf
16,0.030000000000000006,2878,103,innerprod
16,0.030000000000000006,1635,51,avg
16,0.04000000000000001,1221,51,unif
16,0.04000000000000001,1158,25,max
16,0.04000000000000001,2276,103,bonf
16,0.04000000000000001,2758,103,innerprod
16,0.04000000000000001,1611,51,avg
16,0.05000000000000001,1158,25,unif
16,0.05000000000000001,559,10,max
